State Legal Services Authority,Financial Year,Applications received directly by Legal Service Institutions (A),"Applications
 / orders marked / directed by any Court
 (B)",Applications received including Court Orders (A+B),Applications Decided,Applications Pending,Compensation Awarded in (Rs.)
Punjab,2018-2019,337,61,398,138,236,16552350
Rajasthan,2018-2019,1295,777,2072,2170,674,276523750
Sikkim,2018-2019,0,0,0,0,0,0
Tamil Nadu,2018-2019,757,118,875,425,947,57661540
Telengana,2018-2019,20,10,30,13,26,0
Tripura,2018-2019,31,22,53,69,28,10820000
U. T. Chandigarh,2018-2019,7,12,19,10,10,8200000
Uttar Pradesh,2018-2019,26,0,26,26,0,3625000
Uttarakhand,2018-2019,42,54,96,76,36,16280300
West Bengal,2018-2019,136,136,272,198,24,28719806
Andaman & Nicobar Islands,2019-2020,0,0,0,0,0,0
Andhra Pradesh,2019-2020,43,43,86,17,71,6050000
Arunachal Pradesh,2019-2020,21,2,23,17,0,5650000
Assam,2019-2020,284,580,864,777,617,79262000
Bihar,2019-2020,625,271,896,405,581,68825707
Chhattisgarh,2019-2020,366,515,881,488,635,38978000
Dadra & Nagar Haveli,2019-2020,2,4,6,5,0,1150000
Daman & Diu,2019-2020,0,0,0,0,0,0
Delhi,2019-2020,1050,1605,2655,2574,1361,672671700
Goa,2019-2020,0,0,0,0,0,0
Gujarat,2019-2020,457,225,682,310,545,87854870
Haryana,2019-2020,58,449,507,505,100,150470000
Himachal Pradesh,2019-2020,138,146,284,127,5,15667500
Jammu & Kashmir,2019-2020,0,30,30,30,0,6025000
Jharkhand,2019-2020,238,560,798,484,1149,98935000
Karnataka,2019-2020,614,329,943,839,1521,110382213
Kerala,2019-2020,143,184,327,119,159,25079582
Lakshadweep,2019-2020,0,0,0,0,0,0
Madhya Pradesh,2019-2020,821,748,1569,961,570,92249103
Maharashtra,2019-2020,124,67,191,116,272,9176000
Manipur,2019-2020,0,12,12,0,47,0
Meghalaya,2019-2020,74,17,91,75,0,785000
Mizoram,2019-2020,181,26,207,44,78,11820000
Nagaland,2019-2020,0,19,19,18,12,2465000
Odisha,2019-2020,1503,233,1736,1219,2312,154859000
Puducherry,2019-2020,0,9,9,1,0,750000
Punjab,2019-2020,663,151,814,293,312,60538081
Rajasthan,2019-2020,978,1032,2010,2242,451,327520000
Sikkim,2019-2020,0,27,27,27,0,2000000
Tamil Nadu,2019-2020,666,68,734,274,826,36262000
Telengana,2019-2020,3,29,32,33,28,2200000
Tripura,2019-2020,51,23,74,47,52,14315000
U. T. Chandigarh,2019-2020,12,10,22,16,16,3804890
Uttar Pradesh,2019-2020,59,0,59,59,0,10887500
Uttarakhand,2019-2020,10,40,50,55,33,12095000
West Bengal,2019-2020,208,234,442,246,8,44420000
Andaman & Nicobar Islands,2020-2021,0,0,0,0,0,0
Andhra Pradesh,2020-2021,11,21,32,62,37,13900000
Arunachal Pradesh,2020-2021,25,0,25,15,0,6200000
Assam,2020-2021,646,350,996,440,784,79069000
Bihar,2020-2021,601,265,866,451,654,49527002
Chhattisgarh,2020-2021,710,226,936,1008,617,117219000
Dadra & Nagar Haveli,2020-2021,0,0,0,0,0,0
Daman & Diu,2020-2021,0,1,1,1,0,50000
Delhi,2020-2021,577,626,1203,1283,1240,193590500
Goa,2020-2021,0,0,0,0,0,0
Gujarat,2020-2021,1549,248,1797,1142,1202,111432500
Haryana,2020-2021,40,107,147,217,30,80330000
Himachal Pradesh,2020-2021,76,16,92,62,0,8370000
Jammu & Kashmir,2020-2021,14,31,45,42,0,9090000
Jharkhand,2020-2021,214,203,417,222,1383,42601000
Karnataka,2020-2021,194,158,352,318,1550,38151000
Kerala,2020-2021,33,121,154,112,81,48300000
Lakshadweep,2020-2021,0,0,0,0,0,0
Madhya Pradesh,2020-2021,539,238,777,546,620,65988880
Maharashtra,2020-2021,97,29,126,183,206,7822000
Manipur,2020-2021,14,9,23,4,6,1700000
Meghalaya,2020-2021,117,39,156,78,79,3795000
Mizoram,2020-2021,82,47,129,88,19,36475000
Nagaland,2020-2021,16,0,16,0,28,0
Odisha,2020-2021,1209,149,1358,1289,2013,233297500
Puducherry,2020-2021,2,15,17,1,0,2100000
Punjab,2020-2021,257,103,360,268,281,38730000
Rajasthan,2020-2021,907,676,1583,1360,674,168908500
Sikkim,2020-2021,0,37,37,37,0,3625000
Tamil Nadu,2020-2021,453,151,604,120,887,18710380
Telengana,2020-2021,1,30,31,31,28,6290000
Tripura,2020-2021,29,18,47,41,43,11425000
